product_id,title,price_aud,system_type,trap_risk,trap_flags,seller_name,feedback_pct,followers,orders,variant_text,query_source,url
1005010651756829,NVIDIA DGX Spark Blackwell AI small server,6957.19,DGX Spark,CLEAN,,Store1102934986,96.6,57,454,,https://www.aliexpress.com/item/1005010651756829.html
1005010631456789,NVIDIA DGX Spark Compact AI Computing System Blackwell,7225.99,DGX Spark,CLEAN,,Store1102734988,96.2,3669,338,NVIDIA DGX Spark,https://www.aliexpress.com/item/1005010631456789.html
1005010626414862,NVIDIA DGX Spark AI Supercomputer Blackwell Architecture,7442.99,DGX Spark,CLEAN,,Store1102747026,95.7,7804,338,NVIDIA DGX Spark,https://www.aliexpress.com/item/1005010626414862.html
1005010434429194,Dell Pro Max with GB10 AI Workstation PC Grace Blackwell,12407.39,Dell Pro Max,CLEAN,,Store1103375580,100.0,106,428,,https://www.aliexpress.com/item/1005010434429194.html
1005011949194077,NVIDIA DGX Spark Supercomputer Linux PCIe AI Small Server GB10 Core,17375.19,DGX Spark,CLEAN,,Store1104918393,100.0,92,338,,https://www.aliexpress.com/item/1005011949194077.html
1005010631481874,NVIDIA DGX Spark Compact AI Computing System Blackwell,7527.19,DGX Spark,CAUTION,low feedback: 94.2%,Store1102734989,94.2,167,449,NVIDIA DGX Spark,https://www.aliexpress.com/item/1005010631481874.html
1005009337476029,NVIDIA DGX Spark Project DIGITS Desktop AI Computer,11682.39,DGX Spark,CAUTION,low feedback: 94.3%,Store1102018025,94.3,732,397,,https://www.aliexpress.com/item/1005009337476029.html
1005010304372565,NVIDIA DGX Spark supercomputer and Blackwell AI small server,16451.19,DGX Spark,CAUTION,low feedback: 90.2%,Store1102515360,90.2,395,449,,https://www.aliexpress.com/item/1005010304372565.html
1005010647071571,Workstation Grace Blackwell AI Supercomputer DGX,11046.69,DGX Spark,CAUTION,low followers: 5,Store1103094157,100.0,5,338,,https://www.aliexpress.com/item/1005010647071571.html
1005010804301199,Spark Desktop AI Computer Training Workstation GB10 Grace Blackwell,7913.39,DGX Spark,AVOID,low feedback: 66.7%; low followers: 28,Store1102675563,66.7,28,338,,https://www.aliexpress.com/item/1005010804301199.html
1005010499154848,DGX Spark 128GB+4T Grace Blackwell AI Supercomputer,12324.99,DGX Spark,AVOID,low feedback: 75%,Store1102894462,75.0,223,253,,https://www.aliexpress.com/item/1005010499154848.html
1005010734242172,NVIDIA DGX Spark AI Computer Training Workstation GB10,80.69,DGX Spark,TRAP,accessory: Only Cascade Cable; obfuscated; low feedback: 92%,Store1102675562,92.0,9,283,Only Cascade Cable,https://www.aliexpress.com/item/1005010734242172.html
1005010734240196,NVIDIA DGX Spark AI Workstation GB10 Grace Blackwell,82.99,DGX Spark,TRAP,accessory: Only Cascade Cable; obfuscated; 338 orders,Store1102675561,95.4,231,338,Only Cascade Cable,https://www.aliexpress.com/item/1005010734240196.html
1005011659350058,DGX Spark Host Supercomputer Blackwell AI Small Server,100.19,DGX Spark,TRAP,accessory: dedicated line variant,Store1103597750,98.8,153,449,dedicated line,https://www.aliexpress.com/item/1005011659350058.html
