listing_id,title,price_aud,product_type,ram,seller_location,condition,seller_name,feedback_pct,feedback_count,trust_risk,url
226807664400,"HP Zbook Ultra 14 G1a 14"" Mobile Workstation, Ryzen AI Max Pro 395, 64GB RAM,...",6818.0,HP ZBook Ultra G1a,64GB,Unknown,,,,,,https://www.ebay.com.au/itm/226807664400
256928280930,"HP ZBook Ultra 14 G1a 14"" WUXGA AMD AI MAX+ 395 64GB 1TB SSD W11P 3YR",7212.0,HP ZBook Ultra G1a,64GB,Unknown,,,,,,https://www.ebay.com.au/itm/256928280930
286561178954,"HP ZBook Ultra 14 G1a 14"" OLED 2.8K TOUCH AMD AI MAX+ PRO 395 128GB 2TB W11P 3YR",13826.0,HP ZBook Ultra G1a,128GB,Unknown,,,,,,https://www.ebay.com.au/itm/286561178954
318231455008,"NEW HP BG1Q2PT ZBOOK ULTRA 14 G1A AI MAX+ 395 14"" 64GB (FIXED) 1TB W11P IR WL.h",7811.1,HP ZBook Ultra G1a,64GB,Unknown,,,,,,https://www.ebay.com.au/itm/318231455008
267559926415,"NEW ZBU(BG1Q2PT) HP ZBOOK ULTRA 14 G1A, 14"" WUXGA, AMD AI MAX+ 395, 64GB, 1TB.c",7474.95,HP ZBook Ultra G1a,64GB,Unknown,,,,,,https://www.ebay.com.au/itm/267559926415
366360717838,HP ZBook Ultra 14 G1a AMD Ryzen AI Max+ Pro 395 - Mobile Workstation - 3 GHz,13874.87,HP ZBook Ultra G1a,?,Unknown,New,digi-techx,100.0,16865,OK,https://www.ebay.com.au/itm/366360717838
358461388889,A3ZQ2ET#ABD HP ZBook Ultra G1a Mobile Workstation AMD Ryzen AI Max+ 395 3 GH ~D~,12793.16,HP ZBook Ultra G1a,?,Germany,,,,,,https://www.ebay.com.au/itm/358461388889
187588338655,ROG Flow X13 (2025) AMD Ryzen AI Max  395 64GB RAM 1TB SSD Notebook Computers,12381.0,ASUS ROG Flow X13,64GB,China,New,Sinobright,99.6,21837,OK,https://www.ebay.com.au/itm/187588338655
366360717978,HP Z2 G1a Mini AMD Ryzen AI Max+ Pro 395 - Workstation 3 - Workstation,12128.5,HP Z2 G1a Mini,?,Unknown,New,digi-techx,100.0,16865,OK,https://www.ebay.com.au/itm/366360717978
147266020385,A40MYET#ABD HP Workstation Z2 G1a Mini 4U Ryzen AI Max+ Pro 395 3 GHz ~D~,11973.73,Other,?,Germany,New,ErsaZZa,99.7,4792,OK,https://www.ebay.com.au/itm/147266020385
